Identifier,Taxa1,Taxa2,Taxa3
SMGC_1401,Virus,Unassigned,Unassigned
SMGC_1393,Virus,Myoviridae,Myoviridae
SMGC_1395,Virus,Other,Other
SMGC_1406,Virus,Unassigned,Unassigned
SMGC_1404,Virus,Other,Other
SMGC_1405,Virus,Myoviridae,Myoviridae
SMGC_1394,Virus,Myoviridae,Myoviridae
SMGC_1396,Virus,Siphoviridae,Siphoviridae
SMGC_1407,Virus,Siphoviridae,Siphoviridae
SMGC_1408,Virus,Myoviridae,Myoviridae
SMGC_1409,Virus,Other,Other
SMGC_1410,Virus,Papillomaviridae,Papillomaviridae
SMGC_1412,Virus,Papillomaviridae,Papillomaviridae
SMGC_1411,Virus,Papillomaviridae,Papillomaviridae
SMGC_1413,Virus,Papillomaviridae,Papillomaviridae
SMGC_1423,Virus,Podoviridae,Podoviridae
SMGC_1415,Virus,Siphoviridae,Siphoviridae
SMGC_1416,Virus,Podoviridae,Podoviridae
SMGC_1426,Virus,Siphoviridae,Siphoviridae
SMGC_1427,Virus,Myoviridae,Myoviridae
SMGC_1428,Virus,Siphoviridae,Siphoviridae
SMGC_1420,Virus,Siphoviridae,Siphoviridae
SMGC_1417,Virus,Myoviridae,Myoviridae
SMGC_1422,Virus,Myoviridae,Myoviridae
SMGC_1419,Virus,Siphoviridae,Siphoviridae
SMGC_1429,Virus,Podoviridae,Podoviridae
SMGC_1414,Virus,Siphoviridae,Siphoviridae
SMGC_1433,Virus,Siphoviridae,Siphoviridae
SMGC_1424,Virus,Myoviridae,Myoviridae
SMGC_1418,Virus,Siphoviridae,Siphoviridae
SMGC_1435,Virus,Other,Other
SMGC_1436,Virus,Myoviridae,Myoviridae
SMGC_1425,Virus,Myoviridae,Myoviridae
SMGC_1430,Virus,Other,Other
SMGC_1431,Virus,Other,Other
SMGC_1432,Virus,Myoviridae,Myoviridae
SMGC_1434,Virus,Siphoviridae,Siphoviridae
SMGC_1421,Virus,Other,Other
SMGC_1437,Virus,Siphoviridae,Siphoviridae
SMGC_1440,Virus,Siphoviridae,Siphoviridae
SMGC_1442,Virus,Siphoviridae,Siphoviridae
SMGC_1441,Virus,Myoviridae,Myoviridae
SMGC_1439,Virus,Myoviridae,Myoviridae
SMGC_1448,Virus,Other,Other
SMGC_1446,Virus,Siphoviridae,Siphoviridae
SMGC_1447,Virus,Siphoviridae,Siphoviridae
SMGC_1438,Virus,Siphoviridae,Siphoviridae
SMGC_1443,Virus,Other,Other
