Identifier,Taxa1,Taxa2,Taxa3
SMGC_1,p__Bacteroidota,g__F0040,s__
SMGC_2,p__Firmicutes_A,g__Ruminococcus_D,s__Ruminococcus_D bicirculans
SMGC_3,p__Actinobacteriota,g__Kocuria,s__Kocuria salsicia
SMGC_4,p__Firmicutes_A,g__Gemmiger,s__Gemmiger formicilis
SMGC_5,p__Bacteroidota,g__Porphyromonas,s__
SMGC_6,p__Firmicutes_A,g__Agathobacter,s__Agathobacter rectale
SMGC_7,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_8,p__Firmicutes,g__Jeotgalicoccus,s__Jeotgalicoccus marinus
SMGC_9,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium riegelii
SMGC_10,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_11,p__Firmicutes,g__Staphylococcus,s__
SMGC_12,p__Firmicutes_A,g__Lagierella,s__
SMGC_13,p__Firmicutes_A,g__Peptoniphilus_C,s__
SMGC_14,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_15,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_16,p__Actinobacteriota,g__Tessaracoccus_A,s__
SMGC_17,p__Firmicutes,g__Ignavigranum,s__Ignavigranum ruoffiae
SMGC_18,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium frankenforstense
SMGC_19,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium otitidis
SMGC_20,p__Firmicutes,g__Staphylococcus,s__Staphylococcus capitis
SMGC_21,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter baumannii
SMGC_22,p__Crenarchaeota,g__,s__
SMGC_23,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp000755185
SMGC_24,p__Actinobacteriota,g__Rothia,s__
SMGC_25,p__Firmicutes,g__Facklamia,s__Facklamia languida
SMGC_26,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_27,p__Proteobacteria,g__Stenotrophomonas,s__Stenotrophomonas maltophilia_A
SMGC_28,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium humerusii
SMGC_29,p__Firmicutes_A,g__Anaerococcus,s__Anaerococcus sp002359915
SMGC_30,p__Firmicutes_A,g__Anaerococcus,s__Anaerococcus octavius
SMGC_31,p__Firmicutes_A,g__Peptoniphilus_A,s__Peptoniphilus_A rhinitidis
SMGC_32,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_33,p__Actinobacteriota,g__Dermabacter,s__Dermabacter hominis
SMGC_34,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_35,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp001812805
SMGC_36,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium namnetense
SMGC_37,p__Proteobacteria,g__Paracoccus,s__Paracoccus sp000967825
SMGC_38,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_39,p__Actinobacteriota,g__Nesterenkonia,s__
SMGC_40,p__Actinobacteriota,g__Pseudoclavibacter,s__Pseudoclavibacter alba
SMGC_41,p__Proteobacteria,g__Serratia,s__Serratia marcescens_I
SMGC_42,p__Actinobacteriota,g__Rothia,s__
SMGC_43,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium matruchotii
SMGC_44,p__Actinobacteriota,g__Pauljensenia,s__Pauljensenia sp000185285
SMGC_45,p__Firmicutes_C,g__Veillonella,s__Veillonella parvula_A
SMGC_46,p__Firmicutes,g__Facklamia_A,s__Facklamia_A ignava
SMGC_47,p__Firmicutes_A,g__Mogibacterium,s__
SMGC_48,p__Campylobacterota,g__Campylobacter_B,s__Campylobacter_B ureolyticus_A
SMGC_49,p__Bacteroidota,g__Porphyromonas,s__Porphyromonas somerae
SMGC_50,p__Firmicutes_A,g__S5-A14a,s__S5-A14a sp000758905
SMGC_51,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium coyleae
SMGC_52,p__Bacteroidota,g__Prevotella,s__
SMGC_53,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter johnsonii
SMGC_54,p__Proteobacteria,g__Acinetobacter,s__
SMGC_55,p__Firmicutes,g__Streptococcus,s__
SMGC_56,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium afermentans
SMGC_57,p__Firmicutes,g__Staphylococcus,s__Staphylococcus auricularis
SMGC_58,p__Proteobacteria,g__Aeromonas,s__Aeromonas rivipollensis
SMGC_59,p__Proteobacteria,g__Pseudomonas_E,s__
SMGC_60,p__Actinobacteriota,g__Gordonia,s__Gordonia sp002009645
SMGC_61,p__Actinobacteriota,g__Mycolicibacterium,s__Mycolicibacterium bacteremicum
SMGC_62,p__Actinobacteriota,g__Rhodococcus,s__Rhodococcus kroppenstedtii
SMGC_63,p__Actinobacteriota,g__Kocuria,s__Kocuria sp002295155
SMGC_64,p__Proteobacteria,g__Paracoccus,s__Paracoccus sphaerophysae
SMGC_65,p__Proteobacteria,g__Pantoea,s__Pantoea agglomerans
SMGC_66,p__Actinobacteriota,g__Kocuria,s__Kocuria palustris
SMGC_67,p__Firmicutes,g__Bacillus_A,s__Bacillus_A thuringiensis_S
SMGC_68,p__Proteobacteria,g__Achromobacter,s__Achromobacter sp002331005
SMGC_69,p__Actinobacteriota,g__Arsenicicoccus,s__Arsenicicoccus bolidensis
SMGC_70,p__Actinobacteriota,g__Winkia,s__Winkia sp002849225
SMGC_71,p__Firmicutes,g__Bacillus_C,s__Bacillus_C flexus
SMGC_72,p__Firmicutes_I,g__Brevibacillus_B,s__Brevibacillus_B laterosporus
SMGC_73,p__Actinobacteriota,g__Brevibacterium,s__Brevibacterium ravenspurgense
SMGC_74,p__Actinobacteriota,g__Brachybacterium,s__
SMGC_75,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium afermentans
SMGC_76,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_77,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium aurimucosum_C
SMGC_78,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium singulare
SMGC_79,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium hadale
SMGC_80,p__Actinobacteriota,g__Cellulomonas,s__
SMGC_81,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium imitans
SMGC_82,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp001807485
SMGC_83,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_84,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_85,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium minutissimum
SMGC_86,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium propinquum
SMGC_87,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium pseudodiphtheriticum
SMGC_88,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium simulans
SMGC_89,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium striatum
SMGC_90,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium pseudogenitalium
SMGC_91,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_92,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_93,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium freneyi
SMGC_94,p__Actinobacteriota,g__Dermabacter_A,s__Dermabacter_A vaginalis
SMGC_95,p__Actinobacteriota,g__,s__
SMGC_96,p__Actinobacteriota,g__Kocuria,s__Kocuria indica
SMGC_97,p__Actinobacteriota,g__Kocuria,s__Kocuria rhizophila_B
SMGC_98,p__Firmicutes,g__Lysinibacillus,s__Lysinibacillus fusiformis
SMGC_99,p__Actinobacteriota,g__Microbacterium,s__Microbacterium aurum
SMGC_100,p__Firmicutes,g__Macrococcus,s__Macrococcus epidermidis
SMGC_101,p__Actinobacteriota,g__Micrococcus,s__
SMGC_102,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_103,p__Actinobacteriota,g__Lawsonella,s__
SMGC_104,p__Verrucomicrobiota_A,g__,s__
SMGC_105,p__Proteobacteria,g__Aquabacterium,s__
SMGC_106,p__Bacteroidota,g__Bergeyella,s__Bergeyella zoohelcum
SMGC_107,p__Actinobacteriota,g__,s__
SMGC_108,p__Proteobacteria,g__Moraxella,s__
SMGC_109,p__Firmicutes,g__Streptococcus,s__Streptococcus canis
SMGC_110,p__Proteobacteria,g__Moraxella,s__
SMGC_111,p__Proteobacteria,g__Moraxella,s__
SMGC_112,p__Actinobacteriota,g__Branchiibius,s__
SMGC_113,p__Proteobacteria,g__Lysobacter_B,s__
SMGC_114,p__Actinobacteriota,g__Granulicoccus,s__
SMGC_115,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium resistens
SMGC_116,p__Proteobacteria,g__Agrobacterium,s__
SMGC_117,p__Proteobacteria,g__Haematobacter,s__Haematobacter missouriensis
SMGC_118,p__Proteobacteria,g__Pseudomonas,s__Pseudomonas aeruginosa
SMGC_119,p__Proteobacteria,g__Xanthomonas_B,s__
SMGC_120,p__Proteobacteria,g__Klebsiella,s__Klebsiella pneumoniae
SMGC_121,p__Firmicutes,g__Streptococcus,s__Streptococcus thermophilus
SMGC_122,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_123,p__Actinobacteriota,g__Varibaculum,s__Varibaculum cambriense_B
SMGC_124,p__Actinobacteriota,g__Mobiluncus,s__
SMGC_125,p__Firmicutes_A,g__Peptoniphilus_A,s__Peptoniphilus_A lacrimalis
SMGC_126,p__Actinobacteriota,g__Trueperella,s__Trueperella bernardiae
SMGC_127,p__Firmicutes_A,g__Ezakiella,s__
SMGC_128,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_129,p__Actinobacteriota,g__,s__
SMGC_130,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_131,p__Firmicutes_A,g__Ezakiella,s__Ezakiella coagulans
SMGC_132,p__Proteobacteria,g__Novosphingobium,s__
SMGC_133,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E putida
SMGC_134,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter ursingii
SMGC_135,p__Proteobacteria,g__Comamonas,s__Comamonas terrigena
SMGC_136,p__Proteobacteria,g__Comamonas_B,s__Comamonas_B testosteroni
SMGC_137,p__Firmicutes_A,g__Eisenbergiella,s__Eisenbergiella sp900066775
SMGC_138,p__Firmicutes_C,g__Dialister,s__Dialister invisus
SMGC_139,p__Firmicutes_A,g__CAG-83,s__CAG-83 sp000431575
SMGC_140,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E alcaligenes
SMGC_141,p__Bdellovibrionota,g__Bdellovibrio,s__
SMGC_142,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp001815935
SMGC_143,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium granulosum
SMGC_144,p__Proteobacteria,g__Erwinia,s__Erwinia sp002752575
SMGC_145,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E helleri
SMGC_146,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_147,p__Firmicutes,g__Streptococcus,s__
SMGC_148,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E sp002741105
SMGC_149,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter soli
SMGC_150,p__Bacteroidota,g__Sphingobacterium,s__Sphingobacterium sp001952815
SMGC_151,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium massiliense
SMGC_152,p__Proteobacteria,g__Brevundimonas,s__
SMGC_153,p__Cyanobacteria,g__Arthrospira,s__Arthrospira maxima
SMGC_154,p__Firmicutes,g__Alloiococcus,s__Alloiococcus otitis
SMGC_155,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_156,p__Proteobacteria,g__QFNR01,s__
SMGC_157,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_158,p__Proteobacteria,g__Methyloversatilis,s__Methyloversatilis discipulorum_A
SMGC_159,p__Actinobacteriota,g__Micrococcus,s__Micrococcus luteus_A
SMGC_160,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter bereziniae
SMGC_161,p__Actinobacteriota,g__Varibaculum,s__Varibaculum sp900106855
SMGC_162,p__Actinobacteriota,g__Rothia,s__Rothia mucilaginosa
SMGC_163,p__Firmicutes,g__Streptococcus,s__
SMGC_164,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium pyruviciproducens
SMGC_165,p__Actinobacteriota,g__Pauljensenia,s__Pauljensenia radingae
SMGC_166,p__Bacteroidota,g__Prevotella,s__Prevotella corporis
SMGC_167,p__Bacteroidota,g__Porphyromonas,s__
SMGC_168,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium glyciniphilum
SMGC_169,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium variabile
SMGC_170,p__Proteobacteria,g__Moraxella_A,s__Moraxella_A aerosaccus
SMGC_171,p__Firmicutes,g__Staphylococcus,s__Staphylococcus simulans
SMGC_172,p__Bacteroidota,g__Alistipes,s__Alistipes putredinis
SMGC_173,p__Bacteroidota,g__RC9,s__RC9 sp000431015
SMGC_174,p__Firmicutes_A,g__CAG-269,s__CAG-269 sp003525075
SMGC_175,p__Firmicutes_A,g__Gemmiger,s__Gemmiger sp003476825
SMGC_176,p__Firmicutes_A,g__UBA11524,s__UBA11524 sp000437595
SMGC_177,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_178,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium vitaeruminis_A
SMGC_179,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_180,p__Bacteroidota,g__Porphyromonas,s__
SMGC_181,p__Proteobacteria,g__Neisseria,s__Neisseria cinerea
SMGC_182,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium ureicelerivorans
SMGC_183,p__Bacteroidota,g__Porphyromonas,s__Porphyromonas sp001808555
SMGC_184,p__Actinobacteriota,g__Actinomyces,s__Actinomyces viscosus
SMGC_185,p__Firmicutes,g__Streptococcus,s__
SMGC_186,p__Actinobacteriota,g__Dietzia,s__Dietzia maris
SMGC_187,p__Proteobacteria,g__Brevundimonas,s__Brevundimonas nasdae
SMGC_188,p__Bacteroidota,g__Porphyromonas,s__
SMGC_189,p__Actinobacteriota,g__Gordonia,s__Gordonia jacobaea
SMGC_190,p__Firmicutes,g__Streptococcus,s__
SMGC_191,p__Proteobacteria,g__Aggregatibacter,s__Aggregatibacter sp000466335
SMGC_192,p__Proteobacteria,g__Pantoea_B,s__Pantoea_B calida
SMGC_193,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter nosocomialis
SMGC_194,p__Proteobacteria,g__Neisseria,s__Neisseria sp000186165
SMGC_195,p__Actinobacteriota,g__Gordonia,s__Gordonia paraffinivorans
SMGC_196,p__Proteobacteria,g__Achromobacter,s__Achromobacter xylosoxidans
SMGC_197,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium appendicis
SMGC_198,p__Proteobacteria,g__Moraxella,s__Moraxella catarrhalis
SMGC_199,p__Actinobacteriota,g__Pseudoglutamicibacter,s__Pseudoglutamicibacter cumminsii
SMGC_200,p__Firmicutes,g__Streptococcus,s__
SMGC_201,p__Actinobacteriota,g__Rothia,s__Rothia mucilaginosa
SMGC_202,p__Firmicutes_A,g__Peptoniphilus_C,s__Peptoniphilus_C coxii
SMGC_203,p__Actinobacteriota,g__Varibaculum,s__Varibaculum cambriense
SMGC_204,p__Bacteroidota,g__Prevotella,s__Prevotella timonensis
SMGC_205,p__Firmicutes,g__Lactobacillus,s__Lactobacillus delbrueckii
SMGC_206,p__Proteobacteria,g__Brevundimonas,s__
SMGC_207,p__Actinobacteriota,g__Microbacterium,s__Microbacterium sp001889265
SMGC_208,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E chengduensis
SMGC_209,p__Proteobacteria,g__Brevundimonas,s__Brevundimonas sp003248925
SMGC_210,p__Firmicutes,g__Leuconostoc,s__Leuconostoc mesenteroides
SMGC_211,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_212,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium accolens
SMGC_213,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_214,p__Actinobacteriota,g__Bifidobacterium,s__Bifidobacterium lacrimalis
SMGC_215,p__Bacteroidota,g__Porphyromonas,s__Porphyromonas bennonis
SMGC_216,p__Proteobacteria,g__Conchiformibius,s__Conchiformibius steedae
SMGC_217,p__Actinobacteriota,g__Mycolicibacterium,s__Mycolicibacterium obuense
SMGC_218,p__Actinobacteriota,g__Lawsonella,s__Lawsonella clevelandensis_A
SMGC_219,p__Proteobacteria,g__QFNR01,s__QFNR01 sp003248485
SMGC_220,p__Proteobacteria,g__QFNR01,s__
SMGC_221,p__Actinobacteriota,g__Micrococcus,s__Micrococcus luteus
SMGC_222,p__Proteobacteria,g__Moraxella,s__Moraxella nonliquefaciens
SMGC_223,p__Actinobacteriota,g__Microbacterium,s__
SMGC_224,p__Proteobacteria,g__Microvirga,s__
SMGC_225,p__Firmicutes_I,g__Paenibacillus_B,s__
SMGC_226,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium avidum
SMGC_227,p__Proteobacteria,g__Pantoea,s__Pantoea sp002389975
SMGC_228,p__Firmicutes_I,g__Paenibacillus,s__
SMGC_229,p__Proteobacteria,g__Pseudomonas_B,s__Pseudomonas_B luteola
SMGC_230,p__Proteobacteria,g__Pantoea,s__Pantoea sp002920175
SMGC_231,p__Firmicutes_I,g__Paenibacillus,s__Paenibacillus sp001426865
SMGC_232,p__Proteobacteria,g__Caballeronia,s__Caballeronia zhejiangensis
SMGC_233,p__Proteobacteria,g__Roseomonas,s__
SMGC_234,p__Proteobacteria,g__Roseomonas,s__Roseomonas mucosa
SMGC_235,p__Firmicutes,g__Staphylococcus,s__Staphylococcus argenteus
SMGC_236,p__Firmicutes,g__Staphylococcus,s__Staphylococcus caprae
SMGC_237,p__Firmicutes,g__Staphylococcus,s__Staphylococcus cohnii
SMGC_238,p__Firmicutes,g__Streptococcus,s__Streptococcus cristatus
SMGC_239,p__Proteobacteria,g__Sphingomonas,s__
SMGC_240,p__Firmicutes,g__Staphylococcus,s__Staphylococcus devriesei_A
SMGC_241,p__Firmicutes,g__Staphylococcus,s__Staphylococcus epidermidis
SMGC_242,p__Firmicutes,g__Staphylococcus,s__
SMGC_243,p__Firmicutes,g__Staphylococcus,s__Staphylococcus haemolyticus
SMGC_244,p__Firmicutes,g__Staphylococcus,s__Staphylococcus hominis
SMGC_245,p__Firmicutes,g__Staphylococcus,s__Staphylococcus lugdunensis
SMGC_246,p__Firmicutes,g__Sporosarcina_B,s__
SMGC_247,p__Firmicutes,g__Staphylococcus,s__Staphylococcus petrasii
SMGC_248,p__Firmicutes,g__Salinicoccus,s__Salinicoccus roseus
SMGC_249,p__Proteobacteria,g__Lysobacter,s__
SMGC_250,p__Proteobacteria,g__Methylobacterium,s__Methylobacterium brachiatum
SMGC_251,p__Bacteroidota,g__Flavobacterium,s__
SMGC_252,p__Bdellovibrionota,g__Bacteriovorax,s__
SMGC_253,p__Proteobacteria,g__Hyphomonas,s__
SMGC_254,p__Proteobacteria,g__Paracoccus,s__
SMGC_255,p__Proteobacteria,g__Brevundimonas,s__
SMGC_256,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_257,p__Actinobacteriota,g__Micrococcus,s__Micrococcus terreus
SMGC_258,p__Proteobacteria,g__Paracoccus,s__Paracoccus sanguinis
SMGC_259,p__Proteobacteria,g__Acinetobacter,s__
SMGC_260,p__Patescibacteria,g__C7867-001,s__
SMGC_261,p__Actinobacteriota,g__Micrococcus,s__
SMGC_262,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_263,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_264,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium glaucum
SMGC_265,p__Proteobacteria,g__Moraxella_A,s__Moraxella_A osloensis
SMGC_266,p__Proteobacteria,g__Enterobacter,s__Enterobacter himalayensis
SMGC_267,p__Proteobacteria,g__Klebsiella_A,s__Klebsiella_A grimontii
SMGC_268,p__Actinobacteriota,g__Microbacterium,s__
SMGC_269,p__Actinobacteriota,g__Pseudoclavibacter,s__
SMGC_270,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_271,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_272,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_273,p__Proteobacteria,g__Stenotrophomonas,s__Stenotrophomonas maltophilia_F
SMGC_274,p__Actinobacteriota,g__Propionimicrobium,s__
SMGC_275,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_276,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_277,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_278,p__Proteobacteria,g__,s__
SMGC_279,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_280,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_281,p__Bacteroidota,g__Porphyromonas,s__
SMGC_282,p__Actinobacteriota,g__Mobiluncus,s__
SMGC_283,p__Proteobacteria,g__Pelistega,s__Pelistega indica
SMGC_284,p__Bacteroidota,g__Porphyromonas,s__Porphyromonas asaccharolytica
SMGC_285,p__Firmicutes_A,g__,s__
SMGC_286,p__Firmicutes,g__Staphylococcus,s__
SMGC_287,p__Actinobacteriota,g__Micrococcus,s__
SMGC_288,p__Firmicutes,g__Jeotgalicoccus,s__Jeotgalicoccus halophilus
SMGC_289,p__Proteobacteria,g__Erwinia,s__
SMGC_290,p__Actinobacteriota,g__Nesterenkonia,s__
SMGC_291,p__Firmicutes,g__Auricoccus,s__Auricoccus indicus
SMGC_292,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium glucuronolyticum
SMGC_293,p__Bacteroidota,g__Porphyromonas,s__
SMGC_294,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_295,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter radioresistens
SMGC_296,p__Proteobacteria,g__Acinetobacter,s__Acinetobacter pittii
SMGC_297,p__Proteobacteria,g__Paracoccus,s__
SMGC_298,p__Actinobacteriota,g__Antricoccus,s__
SMGC_299,p__Actinobacteriota,g__Janibacter,s__
SMGC_300,p__Proteobacteria,g__,s__
SMGC_301,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium sp900232865
SMGC_302,p__Actinobacteriota,g__Brevibacterium,s__Brevibacterium ihuae
SMGC_303,p__Actinobacteriota,g__Brevibacterium,s__Brevibacterium casei
SMGC_304,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_305,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium aurimucosum_E
SMGC_306,p__Proteobacteria,g__Moraxella_A,s__
SMGC_307,p__Proteobacteria,g__DSL-40,s__
SMGC_308,p__Actinobacteriota,g__Tetrasphaera_A,s__
SMGC_309,p__Actinobacteriota,g__Fen-668,s__
SMGC_310,p__Proteobacteria,g__,s__
SMGC_311,p__Actinobacteriota,g__OKQN01,s__OKQN01 sp900289115
SMGC_312,p__Actinobacteriota,g__Arsenicicoccus,s__
SMGC_313,p__Cyanobacteria,g__,s__
SMGC_314,p__Actinobacteriota,g__Brachybacterium,s__Brachybacterium paraconglomeratum
SMGC_315,p__Actinobacteriota,g__Dietzia,s__
SMGC_316,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_317,p__Actinobacteriota,g__Micrococcus,s__
SMGC_318,p__Actinobacteriota,g__Janibacter,s__
SMGC_319,p__Actinobacteriota,g__Lawsonella,s__Lawsonella clevelandensis
SMGC_320,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_321,p__Bacteroidota,g__Prevotella,s__Prevotella buccalis
SMGC_322,p__Proteobacteria,g__Basfia,s__Basfia bettyae
SMGC_323,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium kroppenstedtii_B
SMGC_324,p__Proteobacteria,g__Brevundimonas,s__Brevundimonas sp003248455
SMGC_325,p__Proteobacteria,g__Haematobacter,s__Haematobacter massiliensis
SMGC_326,p__Actinobacteriota,g__Brachybacterium,s__
SMGC_327,p__Actinobacteriota,g__Micrococcus,s__
SMGC_328,p__Actinobacteriota,g__Kocuria,s__
SMGC_329,p__Actinobacteriota,g__Brevibacterium,s__
SMGC_330,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_331,p__Firmicutes_A,g__Peptoniphilus_A,s__
SMGC_332,p__Actinobacteriota,g__Lawsonella,s__
SMGC_333,p__Proteobacteria,g__Pararheinheimera,s__
SMGC_334,p__Firmicutes,g__Streptococcus,s__Streptococcus mitis_S
SMGC_335,p__Proteobacteria,g__Citrobacter_B,s__Citrobacter_B koseri
SMGC_336,p__Firmicutes,g__Streptococcus,s__Streptococcus mitis_F
SMGC_337,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_338,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium amycolatum
SMGC_339,p__Proteobacteria,g__Haemophilus_D,s__Haemophilus_D sp001815355
SMGC_340,p__Proteobacteria,g__Escherichia,s__Escherichia coli
SMGC_341,p__Firmicutes,g__Enterococcus,s__Enterococcus faecalis
SMGC_342,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium minutissimum_A
SMGC_343,p__Actinobacteriota,g__Corynebacterium,s__Corynebacterium kefirresidentii
SMGC_344,p__Actinobacteriota,g__,s__
SMGC_345,p__Actinobacteriota,g__Cutibacterium,s__Cutibacterium acnes
SMGC_346,p__Proteobacteria,g__Pseudomonas_E,s__
SMGC_347,p__Bacteroidota,g__Prevotella,s__Prevotella bivia
SMGC_348,p__Firmicutes_C,g__Acidaminococcus,s__Acidaminococcus intestini
SMGC_349,p__Bacteroidota,g__Bacteroides,s__Bacteroides uniformis
SMGC_350,p__Bacteroidota,g__Bacteroides_B,s__Bacteroides_B massiliensis
SMGC_351,p__Bacteroidota,g__Bacteroides,s__Bacteroides xylanisolvens
SMGC_352,p__Firmicutes_C,g__Megasphaera,s__Megasphaera massiliensis
SMGC_353,p__Firmicutes,g__Staphylococcus,s__Staphylococcus pettenkoferi
SMGC_354,p__Firmicutes,g__Staphylococcus,s__Staphylococcus aureus
SMGC_355,p__Firmicutes,g__Sporosarcina_C,s__
SMGC_356,p__Firmicutes,g__Staphylococcus,s__Staphylococcus warneri
SMGC_357,p__Firmicutes,g__Staphylococcus,s__Staphylococcus warneri_A
SMGC_358,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E oleovorans
SMGC_359,p__Firmicutes_A,g__Anaerococcus,s__
SMGC_360,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_361,p__Proteobacteria,g__Pseudomonas_E,s__Pseudomonas_E sp002742565
SMGC_362,p__Actinobacteriota,g__Corynebacterium,s__
SMGC_363,p__Firmicutes_A,g__Anaerococcus,s__Anaerococcus sp900128425
SMGC_364,p__Actinobacteriota,g__Nesterenkonia,s__
SMGC_365,p__Firmicutes,g__Streptococcus,s__Streptococcus agalactiae
SMGC_366,p__Actinobacteriota,g__Rothia,s__Rothia sp001808955
SMGC_367,p__Bacteroidota,g__F0040,s__
SMGC_368,p__Actinobacteriota,g__Nesterenkonia,s__
SMGC_369,p__Actinobacteriota,g__Rothia,s__Rothia xyli
SMGC_370,p__Proteobacteria,g__Acidocella,s__
SMGC_371,p__Actinobacteriota,g__Pauljensenia,s__Pauljensenia sp000411415
SMGC_372,p__Bacteroidota,g__Prevotella,s__Prevotella melaninogenica
SMGC_373,p__Firmicutes,g__Abiotrophia,s__Abiotrophia defectiva
SMGC_374,p__Bacteroidota,g__Chryseobacterium_B,s__Chryseobacterium_B sp002391865
SMGC_375,p__Firmicutes_A,g__Levyella,s__Levyella massiliensis
SMGC_376,p__Actinobacteriota,g__Propionimicrobium,s__Propionimicrobium lymphophilum
SMGC_377,p__Firmicutes_A,g__Peptoniphilus_B,s__Peptoniphilus_B duerdenii
SMGC_378,p__Firmicutes_A,g__Peptoniphilus_C,s__Peptoniphilus_C sp900088125
