feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG34	ST	487	0.651479576713561	0.0905674361755443	1101	117	1.18498790062534e-12	3.74108745590093e-12
KEGG26	ST	487	-0.0397933132629601	0.00552414405430964	1101	1101	1.22855767081439e-12	3.8685131879952e-12
KEGG9	ST	768	-0.0435752565204949	0.00607973342455804	1101	1101	1.42239874065e-12	4.46722104485391e-12
KEGG52	ST	73	-0.0466058272792116	0.00647804729090225	1101	1101	1.43819768504504e-12	4.50510755367356e-12
KEGG39	ST	290	-0.0443565566206652	0.00620258649866442	1101	1101	1.5870996961916e-12	4.95865863628775e-12
KEGG19	ST	153	-0.0547096686611667	0.00763618017019395	1101	1101	1.76021863447944e-12	5.48533248884292e-12
KEGG22	ST	768	-0.0461468678329326	0.00649458055977899	1101	1101	2.18343139660624e-12	6.78664501110083e-12
KEGG2	ST	153	-0.055870550174465	0.00783173188178371	1101	1101	2.26591685954645e-12	7.02492476250133e-12
KEGG139	ST	5	-0.0470023536552104	0.00648066177548678	1101	1100	3.29271033086162e-12	1.01820734846644e-11
KEGG60	ST	768	-0.0470653678574913	0.00668325230579576	1101	1101	3.37300779564704e-12	1.04037017942464e-11
KEGG35	ST	59	-0.0421372585168665	0.00598693843812722	1101	1101	3.696127781117e-12	1.13423157863285e-11
KEGG36	ST	59	-0.0421372585168665	0.00598693843812722	1101	1101	3.696127781117e-12	1.13423157863285e-11
KEGG57	ST	768	-0.0469567661505128	0.00671474384786784	1101	1101	4.72172858971404e-12	1.44528037543024e-11
KEGG109	ST	5	-0.0470006634770568	0.00653923673779394	1101	1100	5.13854137344992e-12	1.56888123959003e-11
KEGG56	ST	73	-0.070736793295355	0.0101631729610939	1101	1101	5.99166097820945e-12	1.82473311609106e-11
KEGG52	ST	5	-0.0463439759590509	0.00652741178284329	1101	1101	6.12790581239052e-12	1.86152504023752e-11
KEGG58	ST	59	-0.0423420751725577	0.00607755410143258	1101	1101	6.143990622735e-12	1.86172178166292e-11
KEGG44	ST	290	-0.0456613880909441	0.00657827156002314	1101	1101	6.70729948509202e-12	2.02731909248646e-11
KEGG8	ST	766	-0.057846700879451	0.00833786030215009	1101	1101	6.93657436352595e-12	2.09137717060307e-11
KEGG12	ST	35	-0.0407033393209262	0.00585123604293846	1101	1101	8.38353555310294e-12	2.52133263766637e-11
KEGG27	ST	5	-0.0368280813706297	0.00531217022403338	1101	1101	9.56143687737031e-12	2.86843106321109e-11
KEGG30	ST	59	-0.0409797975273915	0.00594207560869235	1101	1101	9.80131457089981e-12	2.93309810732138e-11
KEGG25	ST	73	-0.04928344096919	0.00715912876766864	1101	1101	1.10983581867551e-11	3.31302474584817e-11
KEGG139	ST	766	-0.0549447608385545	0.00800375043252282	1101	1100	1.19091792877603e-11	3.54628894346641e-11
KEGG11	ST	153	-0.0547746463201098	0.0079573955205622	1101	1101	1.27746251493317e-11	3.79463003204288e-11
KEGG61	ST	153	-0.0543028097897552	0.00792859544062599	1101	1101	1.55620611598393e-11	4.61126431419316e-11
KEGG60	ST	59	-0.0424480775405067	0.00623233172654826	1101	1101	1.69884123299204e-11	5.02157482105001e-11
KEGG109	ST	766	-0.0549065313328699	0.00808009142227537	1101	1100	1.89478505160309e-11	5.58706790277098e-11
KEGG9	ST	487	-0.0338538594333802	0.00498887069400555	1101	1101	1.91106876573348e-11	5.62133885725506e-11
KEGG71	ST	487	-0.0731772919892755	0.0104081595010256	1101	1101	2.15014474538854e-11	6.30918385143205e-11
KEGG24	ST	766	-0.0492959548960508	0.00729342049910259	1101	1101	2.28899590719251e-11	6.6968496326785e-11
KEGG59	ST	766	-0.0492949038001454	0.00729357559303206	1101	1101	2.2933655873103e-11	6.6968496326785e-11
KEGG73	ST	290	1.24713480065379	0.18498890019901	1101	246	2.5545078072899e-11	7.44139230819233e-11
KEGG57	ST	59	-0.0421737906430841	0.00625390989182628	1101	1101	2.67386300038769e-11	7.77031030956038e-11
KEGG45	ST	290	-0.0427444480439025	0.00636457434539214	1101	1101	3.01946497047734e-11	8.75354508268191e-11
KEGG134	ST	218	-0.0814362629259089	0.010473455747871	1101	1099	3.66048836946249e-11	1.05864483778699e-10
KEGG23	ST	768	-0.0478351612886878	0.00717781026049754	1101	1101	4.2390665968091e-11	1.22304170233296e-10
KEGG18	ST	487	-0.0357837246511538	0.00537528402996225	1101	1101	4.55800197195804e-11	1.31192133130821e-10
KEGG4	ST	88	-0.0811883283432712	0.0122464315807896	1101	1101	5.35286024131475e-11	1.53703558357752e-10
KEGG24	ST	5	-0.0403570659716819	0.00605701964405001	1101	1101	5.4989507193696e-11	1.57456604096827e-10
KEGG59	ST	5	-0.0403560109307943	0.00605713097069232	1101	1101	5.50967553307306e-11	1.57456604096827e-10
KEGG41	ST	88	-0.0804112936348889	0.01218509858165	1101	1101	6.52067987452566e-11	1.85908745358817e-10
KEGG16	ST	290	-0.0484317058748116	0.00738505424544018	1101	1101	8.43823651879112e-11	2.3888528736296e-10
KEGG31	ST	14	0.968729019357673	0.147693813407193	1101	779	8.43066684784941e-11	2.3888528736296e-10
KEGG51	ST	487	-0.0482588661314482	0.00735788830252717	1101	1101	8.42812618153215e-11	2.3888528736296e-10
KEGG41	ST	203	-0.0186302766605602	0.00284778318095909	1101	1101	9.39850292913848e-11	2.65447178748033e-10
KEGG4	ST	203	-0.0187192750094218	0.00286226363475781	1101	1101	9.52096249839331e-11	2.68277588155662e-10
KEGG34	ST	88	2.28264660387735	0.349057203954978	1101	117	9.57526687888217e-11	2.69178831140604e-10
KEGG21	ST	88	-0.0817070336798566	0.0125796219377054	1101	1101	1.27277059227687e-10	3.56967752159514e-10
KEGG25	ST	5	-0.0475186891939448	0.00722572408680772	1101	1101	1.27574288324152e-10	3.56971210484749e-10
KEGG81	ST	153	-0.0632665816729801	0.009602156851541	1101	1101	1.38758050398812e-10	3.87366224030017e-10
KEGG31	ST	88	3.18830704437546	0.493600385627992	1101	779	1.60130908936755e-10	4.45999714036321e-10
KEGG4	ST	16	-0.0329691347362557	0.00511400723684498	1101	1101	1.71828946881361e-10	4.77478594329313e-10
KEGG19	ST	88	-0.081757595511502	0.0126845366968165	1101	1101	1.74672374787283e-10	4.84264101134399e-10
KEGG49	ST	59	-0.0359112462365535	0.00556937811662689	1101	1101	1.7668398475883e-10	4.88717627566855e-10
KEGG8	ST	5	-0.0446844535941025	0.00690484129626783	1101	1101	1.92813224615683e-10	5.32111553516048e-10
KEGG50	ST	218	-0.0690337088198054	0.00877235607449777	1101	1101	2.51379790066721e-10	6.92155312375491e-10
KEGG3	ST	153	-0.0537227162699568	0.00839324851570487	1101	1101	2.94468987014239e-10	8.08951249064175e-10
KEGG56	ST	290	-0.145355369221362	0.0228588333361531	1101	1101	3.02209710566041e-10	8.28329343051466e-10
KEGG26	ST	35	-0.0344303746861431	0.0053835569406704	1101	1101	3.2077043746004e-10	8.77208951421334e-10
KEGG8	ST	73	-0.0429739585955104	0.00677667058881421	1101	1101	3.47457668886401e-10	9.48040607866515e-10
KEGG43	ST	35	0.0814112773809859	0.0128605512751401	1101	1101	3.5844473145862e-10	9.75811165099538e-10
KEGG18	ST	59	-0.0387240400538646	0.00610825245602356	1101	1101	3.64133732395931e-10	9.89065948805165e-10
KEGG40	ST	153	-0.0515977770973738	0.00811272930258578	1101	1101	3.97414834239079e-10	1.07703885414007e-09
KEGG81	ST	290	-0.0455186871697819	0.00724270519130129	1101	1101	4.75884991372817e-10	1.28681008877941e-09
KEGG21	ST	203	-0.0184063653826476	0.00293977279696678	1101	1101	5.52765626965061e-10	1.49135424187889e-09
KEGG34	ST	59	0.649136158748918	0.104077000593766	1101	117	6.39242872344724e-10	1.72081898224941e-09
KEGG41	ST	16	-0.0316995020523655	0.00508728763616817	1101	1101	6.62534190664566e-10	1.77954617804336e-09
KEGG2	ST	88	-0.0811755636240561	0.0130526330721578	1101	1101	7.18351033445524e-10	1.925180769634e-09
KEGG18	ST	768	-0.0408824276654562	0.00658361035960646	1101	1101	7.57349524494801e-10	2.02519628944729e-09
KEGG19	ST	203	-0.0184024787047214	0.00296441599430521	1101	1101	7.67996890800783e-10	2.04912444757908e-09
KEGG37	ST	487	-0.0390055148065107	0.00627568032546446	1101	1101	7.74394746191572e-10	2.06163369515902e-09
KEGG95	ST	487	0.279229252277332	0.0452034366380553	1101	1100	9.22701421550828e-10	2.4510526748685e-09
KEGG61	ST	88	-0.0817093303272888	0.0132355292814265	1101	1101	9.49996951723346e-10	2.51801389841397e-09
KEGG39	ST	153	-0.0522931641276249	0.00841917747152554	1101	1101	9.54589256962021e-10	2.52463737696534e-09
KEGG32	ST	73	-0.0368074662229231	0.00596373123019567	1101	1101	9.73467433722711e-10	2.56332254382006e-09
KEGG33	ST	73	-0.0368074662229231	0.00596373123019567	1101	1101	9.73467433722711e-10	2.56332254382006e-09
KEGG21	ST	16	-0.0323368381864203	0.00525036615542768	1101	1101	1.03109083206213e-09	2.70914061757501e-09
KEGG27	ST	73	-0.0319995063609225	0.00519923568820003	1101	1101	1.08882803985933e-09	2.85462307841382e-09
KEGG11	ST	88	-0.0813273703877204	0.0133130031356174	1101	1101	1.40727998267069e-09	3.68151769870032e-09
KEGG19	ST	16	-0.0323129611496114	0.00529511009493155	1101	1101	1.45380445340518e-09	3.79499604070704e-09
KEGG43	ST	59	0.0902074301862353	0.0148127220707083	1101	1101	1.56864159986625e-09	4.08592174824772e-09
KEGG2	ST	203	-0.018552470079918	0.00305003761000923	1101	1101	1.64390868363803e-09	4.27274541480057e-09
KEGG12	ST	487	-0.0364781211055312	0.00599421878952034	1101	1101	1.68190039341829e-09	4.36209005260743e-09
KEGG95	ST	35	0.271738741823493	0.0448274933057586	1101	1100	1.87543889959881e-09	4.85360367578576e-09
KEGG24	ST	73	-0.0359522193661868	0.00593200491292103	1101	1101	1.91966116045164e-09	4.95196330320442e-09
KEGG59	ST	73	-0.0359519367370516	0.00593212679128678	1101	1101	1.9216574012435e-09	4.95196330320442e-09
