feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG60	ST	15	-0.0111313430433838	0.00408042851952597	1346	1346	0.00693205267825559	0.0778717450498931
KEGG63	ST	5522	-0.012853012802902	0.00473766442957105	1346	1346	0.00689610777973101	0.0778717450498931
KEGG106	ST	8	-0.0368300953770327	0.0136390238428956	1346	1346	0.00703779339480314	0.0784866959029132
KEGG49	ST	15	-0.0109327923842177	0.00403181671544898	1346	1346	0.00712360617806315	0.0788721576117927
KEGG74	ST	5522	-0.0128068548860496	0.00476009839937668	1346	1346	0.00736810812644177	0.0809965600470992
KEGG124	ST	7	0.0130519039099203	0.00487145072889276	1346	1346	0.0074766004193621	0.081031605953509
KEGG16	ST	45	0.012752605567502	0.0046929180785574	1346	1346	0.00743202538185809	0.081031605953509
KEGG40	ST	97	0.0118055763478726	0.0043674985086648	1346	1346	0.00785889487583757	0.0845792952021959
KEGG63	ST	22	-0.0107958688453586	0.00402965149087798	1346	1346	0.00801334948697632	0.0856426726420594
KEGG43	ST	45	0.0158921827803463	0.00595474432955458	1346	1346	0.00819202520923223	0.0869484606690235
KEGG124	ST	97	0.0118665077512831	0.00448730203942622	1346	1346	0.00828460587117827	0.0873288249023517
KEGG63	ST	121	-0.0193386249572372	0.00726537407336484	1346	1346	0.0083581085313634	0.0875042791140699
KEGG84	ST	1290	-0.0190035913159881	0.0062933916884958	1346	1345	0.00844623776448103	0.0878294589157859
KEGG28	ST	30	-0.0120547269559414	0.00454101778169288	1346	1346	0.00859928645453212	0.0880756761181497
KEGG31	ST	7	-0.769162698734383	0.291778098825058	1346	1058	0.00857122659620052	0.0880756761181497
KEGG64	ST	4603	0.0533006209040519	0.0202652818130854	1346	1346	0.00864160304992892	0.0880756761181497
KEGG5	ST	97	0.0125231461742387	0.00476713688546721	1346	1345	0.0087140955823573	0.0882302177713677
KEGG103	ST	97	0.011856037022503	0.00454920346286835	1346	1346	0.00926902228347351	0.0932354594396453
KEGG14	ST	15	-0.0103203638227114	0.0039211156529325	1346	1346	0.00933846214866279	0.0933239821220262
KEGG74	ST	121	-0.0191347876365575	0.00732104470003745	1346	1346	0.00959314274260592	0.0952506237475517
KEGG139	ST	5522	-0.0183798024973704	0.00710658054394379	1346	1346	0.00982267334596412	0.0960000806172059
KEGG47	ST	22	-0.0115107203208454	0.0044331406483931	1346	1346	0.00991639675557761	0.0960000806172059
KEGG69	ST	5522	-0.0133402346882475	0.00516186253751884	1346	1346	0.00997069072722805	0.0960000806172059
KEGG74	ST	15	-0.00543371730699286	0.00210068444296375	1346	1346	0.00998051520386806	0.0960000806172059
KEGG74	ST	22	-0.0105934466436818	0.00406217337172363	1346	1346	0.00982107661254361	0.0960000806172059
KEGG103	ST	5522	-0.0181742372718004	0.00705244568118289	1346	1346	0.0100858320592272	0.0964105312990726
KEGG124	ST	5522	-0.0179119229864409	0.0069825282690012	1346	1346	0.01042852737567	0.097440495409974
KEGG139	ST	97	0.011806037048082	0.0045982124324765	1346	1346	0.0103672108843777	0.097440495409974
KEGG30	ST	15	-0.0101829652502724	0.00392259315044889	1346	1346	0.010342452242606	0.097440495409974
KEGG86	ST	15	-0.0151084498648306	0.00543608198903711	1346	1346	0.0104468367398608	0.097440495409974
KEGG11	ST	39	-0.0153747442410692	0.00600747196413896	1346	1346	0.0107566243932725	0.0997255719352196
KEGG61	ST	15	-0.0102702298798292	0.00401263619607192	1346	1346	0.0109736601899302	0.101128521151513
KEGG71	ST	5522	-0.017414631437969	0.00690278245578448	1346	1346	0.0117633353622534	0.107760554300643
KEGG4	ST	97	0.00980882756618107	0.0039036511253643	1346	1346	0.0121102959682271	0.108385547429625
KEGG53	ST	15	-0.0107504423712759	0.0042648370338862	1346	1346	0.0121149063589016	0.108385547429625
KEGG62	ST	15	-0.0107500522521325	0.00426534813205875	1346	1346	0.0121281115353861	0.108385547429625
KEGG65	ST	5522	-0.0165458755611958	0.00659138909583231	1346	1346	0.0121836905167804	0.108385547429625
KEGG80	ST	5522	-0.0165464005098585	0.00659155103099086	1346	1346	0.0121830734765586	0.108385547429625
