feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
KEGG86	ST	2990	-0.0101271121492659	0.02869185873579	1346	1346	0.724175599727775	0.896431625823899
KEGG86	ST	8	-0.00238843216517686	0.0065763215073706	1346	1346	0.717895517261911	0.896431625823899
KEGG95	ST	6	-0.00717601499835424	0.0202011968662004	1346	1346	0.722543488655988	0.896431625823899
KEGG95	ST	8	-0.00514239637775952	0.0145959930129803	1346	1346	0.724729691258414	0.896431625823899
KEGG57	ST	8	-0.00173141890714945	0.00497711474795808	1346	1346	0.728316746365149	0.899582241296922
KEGG77	ST	188	-0.00583044131206094	0.0168611432957426	1346	1346	0.729822027419096	0.900718604809935
KEGG139	ST	582	-0.0218921723914555	0.0637820321617722	1346	1346	0.731808855160634	0.901724442027395
KEGG191	ST	1290	-0.0201620917931809	0.0586897369145441	1346	1324	0.731258383462636	0.901724442027395
KEGG77	ST	2990	-0.00751277483440663	0.0219652954317146	1346	1346	0.732414579050733	0.901748829727263
KEGG83	ST	7	0.00539711037262201	0.0158707527008372	1346	1346	0.733898788389045	0.90285390514048
KEGG109	ST	121	-0.0229056249891482	0.0697974466476177	1346	1344	0.743156454589817	0.903539737877318
KEGG109	ST	5522	-0.0131963087215928	0.0399844024082217	1346	1344	0.741459309354498	0.903539737877318
KEGG109	ST	7	0.00905407362322788	0.0270949504673779	1346	1344	0.738354526201493	0.903539737877318
KEGG17	ST	4603	0.00370236564374391	0.0111381287951407	1346	1346	0.739639824586525	0.903539737877318
KEGG21	ST	7	-0.00242215531569536	0.00725551562273429	1346	1346	0.738604534648525	0.903539737877318
KEGG24	ST	1290	-0.0112457704699824	0.0344088609409316	1346	1345	0.743849803697571	0.903539737877318
KEGG28	ST	8	-0.00200583005765294	0.00600862780047064	1346	1346	0.738816521506553	0.903539737877318
KEGG287	ST	8	-0.00797813180501852	0.023727450236839	1346	1346	0.736779139611218	0.903539737877318
KEGG4	ST	398	0.00251313749414752	0.00757988940974503	1346	1346	0.740301630438781	0.903539737877318
KEGG4	ST	5	-0.00100116648293686	0.00296493893370578	1346	1346	0.735696467745304	0.903539737877318
KEGG40	ST	4603	0.0027309394757483	0.00831114412631345	1346	1346	0.742521792539607	0.903539737877318
KEGG53	ST	398	-0.00338136650041624	0.0102823075935202	1346	1346	0.742618517018504	0.903539737877318
KEGG59	ST	1290	-0.0112462306316043	0.0344096781510446	1346	1345	0.743845560161099	0.903539737877318
KEGG62	ST	398	-0.0033797383130015	0.0102839920586439	1346	1346	0.742778489742326	0.903539737877318
KEGG83	ST	4603	0.00918554644753413	0.0277217463165184	1346	1346	0.740440692548458	0.903539737877318
KEGG95	ST	121	-0.0172234334780467	0.0519237944541637	1346	1346	0.740485406449337	0.903539737877318
KEGG56	ST	188	0.0133833514767544	0.0410873023770997	1346	1346	0.745048501027942	0.904282052903788
